날짜,요일,장소,홈,어웨이,공휴일여부,홈팀_승률,원정팀_승률,홈팀_승패,원정팀_승패,날씨,평균기온,관중수
2024-05-15,수,대전 한화생명 이글스파크,한화,NC,1,0.4,0.575,-8,6,비,13.7,12000
2024-05-15,수,광주-기아 챔피언스 필드,KIA,두산,1,0.61,0.568,9,6,비,14.8,20500
2024-05-16,목,수원케이티위즈파크,KT,롯데,0,0.429,0.333,-6,-13,비,13.2,8312
2024-05-16,목,대전 한화생명 이글스파크,한화,NC,0,0.39,0.585,-9,7,비,14.2,9522
2024-05-16,목,광주-기아 챔피언스 필드,KIA,두산,0,0.619,0.556,10,5,맑음,15.7,15996
2024-05-16,목,인천SSG 랜더스필드,SSG,삼성,0,0.548,0.561,4,5,비,12.9,13791
2024-05-16,목,서울 잠실 야구장,LG,키움,0,0.548,0.415,4,-7,비,13.7,15054
2024-05-17,금,대구 삼성 라이온즈 파크,삼성,한화,0,0.571,0.381,6,-10,맑음,19.1,24000
2024-05-17,금,창원NC파크,NC,KIA,0,0.595,0.619,8,10,맑음,18.5,12280
2024-05-17,금,수원케이티위즈파크,KT,LG,0,0.419,0.535,-7,3,구름많음,17.4,11374
2024-05-17,금,서울 잠실 야구장,두산,롯데,0,0.556,0.35,5,-12,구름많음,18.3,23750
2024-05-17,금,서울고척스카이돔,키움,SSG,0,0.429,0.535,-6,3,구름많음,18.3,9806
2024-05-18,토,대구 삼성 라이온즈 파크,삼성,한화,1,0.581,0.372,7,-11,맑음,21.4,24000
2024-05-18,토,창원NC파크,NC,KIA,1,0.581,0.628,7,11,맑음,20.3,17891
2024-05-18,토,수원케이티위즈파크,KT,LG,1,0.409,0.545,-8,4,맑음,19.1,18700
2024-05-18,토,서울 잠실 야구장,두산,롯데,1,0.543,0.366,4,-11,맑음,20.7,23750
2024-05-18,토,서울고척스카이돔,키움,SSG,1,0.419,0.545,-7,4,맑음,20.7,12133
2024-05-19,일,대구 삼성 라이온즈 파크,삼성,한화,1,0.591,0.364,8,-12,맑음,23.0,24000
2024-05-19,일,창원NC파크,NC,KIA,1,0.568,0.636,6,12,맑음,21.9,16253
2024-05-19,일,수원케이티위즈파크,KT,LG,1,0.4,0.556,-9,5,맑음,20.0,15912
2024-05-19,일,서울 잠실 야구장,두산,롯데,1,0.553,0.357,5,-12,맑음,21.5,23750
2024-05-19,일,서울고척스카이돔,키움,SSG,1,0.409,0.556,-8,5,맑음,21.5,10049
